alpha           precision         recall               unknown_predictions_ratio
0.0(tape1)           0.33884297520661155               0.33884297520661155                     0.0
0.0(tape2)           0.3119266055045872               0.3119266055045872                     0.0
0.0(tape3)           0.31333333333333335               0.31333333333333335                     0.0
0.0(tape4)           0.2830188679245283               0.2830188679245283                     0.0
0.0(tape5)           0.2846153846153846               0.2846153846153846                     0.0
0.0(tape6)           0.3230769230769231               0.3230769230769231                     0.0
0.0(tape7)           0.3548387096774194               0.3548387096774194                     0.0
0.0(tape8)           0.3944954128440367               0.3944954128440367                     0.0
0.0(tape9)           0.3769230769230769               0.3769230769230769                     0.0
0.0(tape10)           0.2578125               0.2578125                     0.0
0.0(tape11)           0.2777777777777778               0.2777777777777778                     0.0
0.0(tape12)           0.2845528455284553               0.2845528455284553                     0.0
0.0(tape13)           0.36036036036036034               0.36036036036036034                     0.0
0.0(tape14)           0.302158273381295               0.302158273381295                     0.0
0.02(tape1)           0.3484848484848485               0.19008264462809918                     0.45454545454545453
0.02(tape2)           0.3888888888888889               0.25688073394495414                     0.3394495412844037
0.02(tape3)           0.35714285714285715               0.23333333333333334                     0.3466666666666667
0.02(tape4)           0.4423076923076923               0.2169811320754717                     0.5094339622641509
0.02(tape5)           0.39436619718309857               0.2153846153846154                     0.45384615384615384
0.02(tape6)           0.3793103448275862               0.25384615384615383                     0.33076923076923076
0.02(tape7)           0.4339622641509434               0.24731182795698925                     0.43010752688172044
0.02(tape8)           0.40298507462686567               0.24770642201834864                     0.3853211009174312
0.02(tape9)           0.5466666666666666               0.3153846153846154                     0.4230769230769231
0.02(tape10)           0.38095238095238093               0.1875                     0.5078125
0.02(tape11)           0.35802469135802467               0.2013888888888889                     0.4375
0.02(tape12)           0.328125               0.17073170731707318                     0.4796747967479675
0.02(tape13)           0.463768115942029               0.2882882882882883                     0.3783783783783784
0.02(tape14)           0.3626373626373626               0.23741007194244604                     0.34532374100719426
0.04(tape1)           0.4067796610169492               0.19834710743801653                     0.512396694214876
0.04(tape2)           0.43283582089552236               0.26605504587155965                     0.3853211009174312
0.04(tape3)           0.3448275862068966               0.2                     0.42
0.04(tape4)           0.48936170212765956               0.2169811320754717                     0.5566037735849056
0.04(tape5)           0.46774193548387094               0.2230769230769231                     0.5230769230769231
0.04(tape6)           0.4025974025974026               0.23846153846153847                     0.4076923076923077
0.04(tape7)           0.4583333333333333               0.23655913978494625                     0.4838709677419355
0.04(tape8)           0.45454545454545453               0.22935779816513763                     0.4954128440366973
0.04(tape9)           0.5507246376811594               0.2923076923076923                     0.46923076923076923
0.04(tape10)           0.49056603773584906               0.203125                     0.5859375
0.04(tape11)           0.410958904109589               0.20833333333333334                     0.4930555555555556
0.04(tape12)           0.2833333333333333               0.13821138211382114                     0.5121951219512195
0.04(tape13)           0.484375               0.27927927927927926                     0.42342342342342343
0.04(tape14)           0.4               0.2158273381294964                     0.460431654676259
0.06(tape1)           0.3888888888888889               0.17355371900826447                     0.5537190082644629
0.06(tape2)           0.43636363636363634               0.22018348623853212                     0.4954128440366973
0.06(tape3)           0.4142857142857143               0.19333333333333333                     0.5333333333333333
0.06(tape4)           0.5208333333333334               0.2358490566037736                     0.5471698113207547
0.06(tape5)           0.49056603773584906               0.2                     0.5923076923076923
0.06(tape6)           0.4225352112676056               0.23076923076923078                     0.45384615384615384
0.06(tape7)           0.4888888888888889               0.23655913978494625                     0.5161290322580645
0.06(tape8)           0.5102040816326531               0.22935779816513763                     0.5504587155963303
0.06(tape9)           0.5892857142857143               0.25384615384615383                     0.5692307692307692
0.06(tape10)           0.4423076923076923               0.1796875                     0.59375
0.06(tape11)           0.38028169014084506               0.1875                     0.5069444444444444
0.06(tape12)           0.37037037037037035               0.16260162601626016                     0.5609756097560976
0.06(tape13)           0.5               0.2702702702702703                     0.4594594594594595
0.06(tape14)           0.43661971830985913               0.22302158273381295                     0.4892086330935252
0.08(tape1)           0.41509433962264153               0.18181818181818182                     0.5619834710743802
0.08(tape2)           0.5294117647058824               0.24770642201834864                     0.5321100917431193
0.08(tape3)           0.4603174603174603               0.19333333333333333                     0.58
0.08(tape4)           0.5365853658536586               0.20754716981132076                     0.6132075471698113
0.08(tape5)           0.45098039215686275               0.17692307692307693                     0.6076923076923076
0.08(tape6)           0.4090909090909091               0.2076923076923077                     0.49230769230769234
0.08(tape7)           0.4782608695652174               0.23655913978494625                     0.5053763440860215
0.08(tape8)           0.5714285714285714               0.22018348623853212                     0.6146788990825688
0.08(tape9)           0.6181818181818182               0.26153846153846155                     0.5769230769230769
0.08(tape10)           0.4375               0.1640625                     0.625
0.08(tape11)           0.3939393939393939               0.18055555555555555                     0.5416666666666666
0.08(tape12)           0.375               0.14634146341463414                     0.6097560975609756
0.08(tape13)           0.48148148148148145               0.23423423423423423                     0.5135135135135135
0.08(tape14)           0.4411764705882353               0.2158273381294964                     0.5107913669064749
0.1(tape1)           0.45098039215686275               0.19008264462809918                     0.5785123966942148
0.1(tape2)           0.5               0.23853211009174313                     0.5229357798165137
0.1(tape3)           0.48333333333333334               0.19333333333333333                     0.6
0.1(tape4)           0.4864864864864865               0.16981132075471697                     0.6509433962264151
0.1(tape5)           0.5217391304347826               0.18461538461538463                     0.6461538461538462
0.1(tape6)           0.39344262295081966               0.18461538461538463                     0.5307692307692308
0.1(tape7)           0.5116279069767442               0.23655913978494625                     0.5376344086021505
0.1(tape8)           0.6               0.22018348623853212                     0.6330275229357798
0.1(tape9)           0.64               0.24615384615384617                     0.6153846153846154
0.1(tape10)           0.45454545454545453               0.15625                     0.65625
0.1(tape11)           0.4126984126984127               0.18055555555555555                     0.5625
0.1(tape12)           0.38               0.15447154471544716                     0.5934959349593496
0.1(tape13)           0.5192307692307693               0.24324324324324326                     0.5315315315315315
0.1(tape14)           0.46875               0.2158273381294964                     0.539568345323741
0.12(tape1)           0.425531914893617               0.1652892561983471                     0.6115702479338843
0.12(tape2)           0.5384615384615384               0.25688073394495414                     0.5229357798165137
0.12(tape3)           0.48333333333333334               0.19333333333333333                     0.6
0.12(tape4)           0.53125               0.16037735849056603                     0.6981132075471698
0.12(tape5)           0.5365853658536586               0.16923076923076924                     0.6846153846153846
0.12(tape6)           0.41818181818181815               0.17692307692307693                     0.5769230769230769
0.12(tape7)           0.5121951219512195               0.22580645161290322                     0.5591397849462365
0.12(tape8)           0.6388888888888888               0.21100917431192662                     0.6697247706422018
0.12(tape9)           0.6530612244897959               0.24615384615384617                     0.6230769230769231
0.12(tape10)           0.5               0.1484375                     0.703125
0.12(tape11)           0.423728813559322               0.1736111111111111                     0.5902777777777778
0.12(tape12)           0.40425531914893614               0.15447154471544716                     0.6178861788617886
0.12(tape13)           0.5510204081632653               0.24324324324324326                     0.5585585585585585
0.12(tape14)           0.4307692307692308               0.2014388489208633                     0.5323741007194245
0.14(tape1)           0.4318181818181818               0.15702479338842976                     0.6363636363636364
0.14(tape2)           0.5208333333333334               0.22935779816513763                     0.5596330275229358
0.14(tape3)           0.5306122448979592               0.17333333333333334                     0.6733333333333333
0.14(tape4)           0.53125               0.16037735849056603                     0.6981132075471698
0.14(tape5)           0.5384615384615384               0.16153846153846155                     0.7
0.14(tape6)           0.45098039215686275               0.17692307692307693                     0.6076923076923076
0.14(tape7)           0.55               0.23655913978494625                     0.5698924731182796
0.14(tape8)           0.6571428571428571               0.21100917431192662                     0.6788990825688074
0.14(tape9)           0.6458333333333334               0.23846153846153847                     0.6307692307692307
0.14(tape10)           0.5135135135135135               0.1484375                     0.7109375
0.14(tape11)           0.4576271186440678               0.1875                     0.5902777777777778
0.14(tape12)           0.40425531914893614               0.15447154471544716                     0.6178861788617886
0.14(tape13)           0.5581395348837209               0.21621621621621623                     0.6126126126126126
0.14(tape14)           0.45614035087719296               0.18705035971223022                     0.5899280575539568
0.16(tape1)           0.4666666666666667               0.17355371900826447                     0.628099173553719
0.16(tape2)           0.5641025641025641               0.2018348623853211                     0.6422018348623854
0.16(tape3)           0.5625               0.18                     0.68
0.16(tape4)           0.53125               0.16037735849056603                     0.6981132075471698
0.16(tape5)           0.5897435897435898               0.17692307692307693                     0.7
0.16(tape6)           0.4528301886792453               0.18461538461538463                     0.5923076923076923
0.16(tape7)           0.5128205128205128               0.21505376344086022                     0.5806451612903226
0.16(tape8)           0.7241379310344828               0.1926605504587156                     0.7339449541284404
0.16(tape9)           0.6458333333333334               0.23846153846153847                     0.6307692307692307
0.16(tape10)           0.5454545454545454               0.140625                     0.7421875
0.16(tape11)           0.43859649122807015               0.1736111111111111                     0.6041666666666666
0.16(tape12)           0.39473684210526316               0.12195121951219512                     0.6910569105691057
0.16(tape13)           0.5555555555555556               0.22522522522522523                     0.5945945945945946
0.16(tape14)           0.45614035087719296               0.18705035971223022                     0.5899280575539568
0.18(tape1)           0.4772727272727273               0.17355371900826447                     0.6363636363636364
0.18(tape2)           0.5609756097560976               0.21100917431192662                     0.6238532110091743
0.18(tape3)           0.5869565217391305               0.18                     0.6933333333333334
0.18(tape4)           0.5483870967741935               0.16037735849056603                     0.7075471698113207
0.18(tape5)           0.5675675675675675               0.16153846153846155                     0.7153846153846154
0.18(tape6)           0.46938775510204084               0.17692307692307693                     0.6230769230769231
0.18(tape7)           0.5277777777777778               0.20430107526881722                     0.6129032258064516
0.18(tape8)           0.7857142857142857               0.2018348623853211                     0.7431192660550459
0.18(tape9)           0.6666666666666666               0.23076923076923078                     0.6538461538461539
0.18(tape10)           0.5142857142857142               0.140625                     0.7265625
0.18(tape11)           0.42592592592592593               0.1597222222222222                     0.625
0.18(tape12)           0.39473684210526316               0.12195121951219512                     0.6910569105691057
0.18(tape13)           0.5957446808510638               0.25225225225225223                     0.5765765765765766
0.18(tape14)           0.4716981132075472               0.17985611510791366                     0.6187050359712231
0.2(tape1)           0.5121951219512195               0.17355371900826447                     0.6611570247933884
0.2(tape2)           0.6153846153846154               0.22018348623853212                     0.6422018348623854
0.2(tape3)           0.5652173913043478               0.17333333333333334                     0.6933333333333334
0.2(tape4)           0.5925925925925926               0.1509433962264151                     0.7452830188679245
0.2(tape5)           0.5833333333333334               0.16153846153846155                     0.7230769230769231
0.2(tape6)           0.44680851063829785               0.16153846153846155                     0.6384615384615384
0.2(tape7)           0.5               0.1827956989247312                     0.6344086021505376
0.2(tape8)           0.7               0.1926605504587156                     0.7247706422018348
0.2(tape9)           0.6666666666666666               0.23076923076923078                     0.6538461538461539
0.2(tape10)           0.6               0.140625                     0.765625
0.2(tape11)           0.4339622641509434               0.1597222222222222                     0.6319444444444444
0.2(tape12)           0.4               0.13008130081300814                     0.6747967479674797
0.2(tape13)           0.625               0.22522522522522523                     0.6396396396396397
0.2(tape14)           0.5098039215686274               0.18705035971223022                     0.6330935251798561
0.22(tape1)           0.5128205128205128               0.1652892561983471                     0.6776859504132231
0.22(tape2)           0.6216216216216216               0.21100917431192662                     0.6605504587155964
0.22(tape3)           0.5333333333333333               0.16                     0.7
0.22(tape4)           0.5714285714285714               0.1509433962264151                     0.7358490566037735
0.22(tape5)           0.625               0.15384615384615385                     0.7538461538461538
0.22(tape6)           0.5365853658536586               0.16923076923076924                     0.6846153846153846
0.22(tape7)           0.5625               0.1935483870967742                     0.6559139784946236
0.22(tape8)           0.6923076923076923               0.1651376146788991                     0.7614678899082569
0.22(tape9)           0.6744186046511628               0.2230769230769231                     0.6692307692307692
0.22(tape10)           0.5757575757575758               0.1484375                     0.7421875
0.22(tape11)           0.46938775510204084               0.1597222222222222                     0.6597222222222222
0.22(tape12)           0.43243243243243246               0.13008130081300814                     0.6991869918699187
0.22(tape13)           0.5526315789473685               0.1891891891891892                     0.6576576576576577
0.22(tape14)           0.5217391304347826               0.17266187050359713                     0.6690647482014388
0.24(tape1)           0.5833333333333334               0.17355371900826447                     0.7024793388429752
0.24(tape2)           0.6388888888888888               0.21100917431192662                     0.6697247706422018
0.24(tape3)           0.5714285714285714               0.16                     0.72
0.24(tape4)           0.5833333333333334               0.1320754716981132                     0.7735849056603774
0.24(tape5)           0.65625               0.16153846153846155                     0.7538461538461538
0.24(tape6)           0.4878048780487805               0.15384615384615385                     0.6846153846153846
0.24(tape7)           0.5172413793103449               0.16129032258064516                     0.6881720430107527
0.24(tape8)           0.7692307692307693               0.1834862385321101                     0.7614678899082569
0.24(tape9)           0.6829268292682927               0.2153846153846154                     0.6846153846153846
0.24(tape10)           0.6071428571428571               0.1328125                     0.78125
0.24(tape11)           0.5               0.1597222222222222                     0.6805555555555556
0.24(tape12)           0.45161290322580644               0.11382113821138211                     0.7479674796747967
0.24(tape13)           0.631578947368421               0.21621621621621623                     0.6576576576576577
0.24(tape14)           0.5217391304347826               0.17266187050359713                     0.6690647482014388
0.26(tape1)           0.5945945945945946               0.18181818181818182                     0.6942148760330579
0.26(tape2)           0.65625               0.1926605504587156                     0.7064220183486238
0.26(tape3)           0.6               0.16                     0.7333333333333333
0.26(tape4)           0.6               0.14150943396226415                     0.7641509433962265
0.26(tape5)           0.7142857142857143               0.15384615384615385                     0.7846153846153846
0.26(tape6)           0.5135135135135135               0.14615384615384616                     0.7153846153846154
0.26(tape7)           0.53125               0.1827956989247312                     0.6559139784946236
0.26(tape8)           0.76               0.1743119266055046                     0.7706422018348624
0.26(tape9)           0.6666666666666666               0.2153846153846154                     0.676923076923077
0.26(tape10)           0.6666666666666666               0.140625                     0.7890625
0.26(tape11)           0.5               0.1597222222222222                     0.6805555555555556
0.26(tape12)           0.45161290322580644               0.11382113821138211                     0.7479674796747967
0.26(tape13)           0.65625               0.1891891891891892                     0.7117117117117117
0.26(tape14)           0.46               0.16546762589928057                     0.6402877697841727
0.28(tape1)           0.6               0.17355371900826447                     0.7107438016528925
0.28(tape2)           0.6666666666666666               0.2018348623853211                     0.6972477064220184
0.28(tape3)           0.5897435897435898               0.15333333333333332                     0.74
0.28(tape4)           0.6               0.14150943396226415                     0.7641509433962265
0.28(tape5)           0.7407407407407407               0.15384615384615385                     0.7923076923076923
0.28(tape6)           0.5384615384615384               0.16153846153846155                     0.7
0.28(tape7)           0.5517241379310345               0.17204301075268819                     0.6881720430107527
0.28(tape8)           0.8695652173913043               0.1834862385321101                     0.7889908256880734
0.28(tape9)           0.6585365853658537               0.2076923076923077                     0.6846153846153846
0.28(tape10)           0.8               0.125                     0.84375
0.28(tape11)           0.5227272727272727               0.1597222222222222                     0.6944444444444444
0.28(tape12)           0.5357142857142857               0.12195121951219512                     0.7723577235772358
0.28(tape13)           0.6060606060606061               0.18018018018018017                     0.7027027027027027
0.28(tape14)           0.5476190476190477               0.16546762589928057                     0.697841726618705
0.3(tape1)           0.6060606060606061               0.1652892561983471                     0.7272727272727273
0.3(tape2)           0.6774193548387096               0.1926605504587156                     0.7155963302752294
0.3(tape3)           0.631578947368421               0.16                     0.7466666666666667
0.3(tape4)           0.64               0.1509433962264151                     0.7641509433962265
0.3(tape5)           0.6666666666666666               0.13846153846153847                     0.7923076923076923
0.3(tape6)           0.4857142857142857               0.13076923076923078                     0.7307692307692307
0.3(tape7)           0.6071428571428571               0.1827956989247312                     0.6989247311827957
0.3(tape8)           0.8636363636363636               0.1743119266055046                     0.7981651376146789
0.3(tape9)           0.675               0.2076923076923077                     0.6923076923076923
0.3(tape10)           0.6521739130434783               0.1171875                     0.8203125
0.3(tape11)           0.5227272727272727               0.1597222222222222                     0.6944444444444444
0.3(tape12)           0.5172413793103449               0.12195121951219512                     0.7642276422764228
0.3(tape13)           0.6451612903225806               0.18018018018018017                     0.7207207207207207
0.3(tape14)           0.475               0.1366906474820144                     0.7122302158273381
